Job ID,Job Title,Company,Location,Remote,Salary,Job Type,Rating,Reviews,Posted,Benefits,Skills (detected),Apply Link,Description
aa7b3e828b89c12f,Associate Data Analyst,The Walt Disney Company (Corporate),"Lake Buena Vista, FL",No,,,4.0,5158,Just posted,,"python, sql, excel, machine learning",https://www.indeed.com/applystart?jk=aa7b3e828b89c12f&from=mobvj&mvj=1&asub=mob&mobvjtk=1j51p21ejge7c800&astse=7caf1b0c52abe0e6&assa=1831&params=mobvjtk=1j51p21ejge7c800&jk=aa7b3e828b89c12f,"The Enterprise Technology mission is to deliver technology solutions that align to business strategies while enabling enterprise efficiency and promoting cross-company collaborative innovation. The Enterprise Technology organization drives competitive advantage by enhancing our consumer experiences, enabling business growth, and advancing operational excellence. This role is part of the End-user and Technical Operations organization. Our mission is to deliver world-class operational support of a..."
f0d0cd90870a1d3d,Salesforce Business Analyst,Roku,"New York, NY 10036",No,"$125,000 - $140,000 a year",,3.1,28,Just posted,,excel,https://www.indeed.com/applystart?jk=f0d0cd90870a1d3d&from=mobvj&mvj=1&asub=mob&mobvjtk=1j51p33pogd1k800&astse=5c0fe6c6c3f14008&assa=7011&params=mobvjtk=1j51p33pogd1k800&jk=f0d0cd90870a1d3d,"Teamwork makes the stream work. Roku is changing how the world watches TV Roku is the #1 TV streaming platform in the U.S., Canada, and Mexico, and we've set our sights on powering every television in the world. Roku pioneered streaming to the TV. Our mission is to be the TV streaming platform that connects the entire TV ecosystem. We connect consumers to the content they love, enable content publishers to build and monetize large audiences, and provide advertisers unique capabilities to engage ..."
9ad3cc6e52ac83a6,Business Analyst Associate,General Dynamics Information Technology,"Springfield, VA 22150",No,"$56,950 - $77,050 a year",Full-time,3.7,5796,Just posted,,excel,https://www.indeed.com/applystart?jk=9ad3cc6e52ac83a6&from=mobvj&mvj=1&asub=mob&mobvjtk=1j51p2tnq21eo000&astse=f906e8ff302393c5&assa=790&params=mobvjtk=1j51p2tnq21eo000&jk=9ad3cc6e52ac83a6,"Type of Requisition: Pipeline Clearance Level Must Currently Possess: None Clearance Level Must Be Able to Obtain: Top Secret SCI + Polygraph Public Trust/Other Required: None Job Family: Program Delivery and Execution Job Qualifications: Skills: Business Operations, Logistics, Office Administration Certifications: None Experience: 0 + years of related experience US Citizenship Required: Yes Job Description: Seize your opportunity to make a personal impact as a Business Analyst Associate support..."
28feaed477a58be3,Senior Business Analyst,The Woman's Hospital of Texas,"Houston, TX 77054",No,,Full-time,3.5,2101,Just posted,,,https://www.indeed.com/viewjob?jk=28feaed477a58be3,"Introduction This Work from Home position requires that you live and will perform the duties of the position; within 60 miles of an HCA Healthcare Hospital (Our hospitals are located in the following states: FL, GA, ID, KS, KY, MO, NV, NH, NC, SC, TN, TX, UT, VA). Do you want to join an organization that invests in you as a Senior Business Analyst? At Parallon, you come first. HCA Healthcare has committed up to $300 million in programs to support our incredible team members over the course of th..."
39d3195a7eb7b579,Energy Analyst,Amazon.com Services LLC,"Arlington, VA",No,"$50,200 - $107,400 a year",Full-time,3.5,53879,Just posted,,"python, sql, excel, aws",https://www.indeed.com/applystart?jk=39d3195a7eb7b579&from=mobvj&mvj=1&asub=mob&mobvjtk=1j51p2vsm200u002&astse=da718868cec2f28c&assa=3038&params=mobvjtk=1j51p2vsm200u002&jk=39d3195a7eb7b579,"DESCRIPTION Are you passionate about making an impact in the energy industry? We are looking for a results-oriented individual to join the AWS Energy Team. In this role, you will help support the procurement, delivery, and reporting of power for data centers in an effort to create a diverse, clean, and low-cost energy portfolio. The optimal candidate will have a results orientated approach, analytical skill set, and strong financial acumen. Key job responsibilities Own the analysis of the energy..."
ac60a5202bbf5a18,Energy Analyst,"Concentric Energy Advisors, Inc.","Marlborough, MA 01752",No,"$93,000 a year",Full-time,4.0,4,Just posted,,excel,https://www.indeed.com/viewjob?jk=ac60a5202bbf5a18,"Job Title: Energy Analyst Job Location: Marlborough, MA headquarters 2025 Wages/Salary: $93,000 plus annual incentive compensation bonus Entry-Level position Company Description: Concentric Energy Advisors, Inc. (www.ceadvisors.com) (“Concentric"") is an employee-owned leading management consulting and financial advisory firm focused on the North American energy and utility industries. Concentric specializes in financial advisory assignments; market assessment and strategy development; ratemaking..."
bb246d3c40573926,Business Analyst (Hybrid Position),Ho2 Systems LLC,"Austin, TX",No,,,0.0,0,Just posted,,,https://www.indeed.com/viewjob?jk=bb246d3c40573926,"Job Summary: We are seeking an experienced Business Analyst to provide senior-level analysis, documentation, and guidance in support of the Business Automation and Social Services Applications (SSA) division. This role involves reviewing and evaluating business systems and user needs, formulating systems that align with overall business strategies, and ensuring policies and procedures are effectively translated into system functionality. The ideal candidate will be highly skilled in business pro..."
dd3823fbb0aad8ec,"Senior Daepartment Data Analyst, Graduate School Dean's Office",UT Southwestern,"Dallas, TX 75390",No,,Full-time,3.8,1639,Just posted,,excel,https://www.indeed.com/applystart?jk=dd3823fbb0aad8ec&from=mobvj&mvj=1&asub=mob&mobvjtk=1j51p30mmgqle800&astse=5e5747e535460280&assa=3824&params=mobvjtk=1j51p30mmgqle800&jk=dd3823fbb0aad8ec,"WHY UT SOUTHWESTERN? With over 75 years of excellence in Dallas-Fort Worth, Texas, UT Southwestern is committed to excellence, innovation, teamwork, and compassion. As a world-renowned medical and research center, we strive to provide the best possible care, resources, and benefits for our valued employees. Ranked as the number 1 hospital in Dallas-Fort Worth according to U.S. News & World Report , we invest in you with opportunities for career growth and development to align with your future go..."
e41da51a6c30d3b5,Business Analyst,Amazon.com Services LLC,"Bellevue, WA 98006",No,"$50,200 - $107,400 a year",Full-time,3.5,53879,Just posted,,"python, java, sql, excel",https://www.indeed.com/applystart?jk=e41da51a6c30d3b5&from=mobvj&mvj=1&asub=mob&mobvjtk=1j51p30s0200u00p&astse=692378a3a86668b9&assa=4034&params=mobvjtk=1j51p30s0200u00p&jk=e41da51a6c30d3b5,"DESCRIPTION Business Analysts are responsible for converting data into actionable business insights. They are analysis experts who leverage a variety of data platforms and analytical tools to provide timely, meaningful, and consumable information. They build deep contextual and domain knowledge. They ensure data quality and build scalable tools. They communicate findings with the most effective and influential methods. Amazon is seeking an exemplary Business Analyst with broad technical skills t..."
fe1b62af298c779e,Product Analyst II - Commercial Auto,Preferred Mutual Insurance Company,Remote,Yes,"$78,000 - $110,000 a year",Full-time,3.5,40,Just posted,,excel,https://www.indeed.com/applystart?jk=fe1b62af298c779e&from=mobvj&mvj=1&asub=mob&mobvjtk=1j51p31c8ge5l80f&astse=6a6ab7dac9e37810&assa=4529&params=mobvjtk=1j51p31c8ge5l80f&jk=fe1b62af298c779e,"Please note, employment offered to residents in the following states only: Connecticut, Delaware, Massachusetts, Maryland, Maine, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont. Please note: This is not a Data Analyst position At Preferred, we understand the importance of holistic health. To meet the diverse needs of our employees, we offer a comprehensive set of benefits: Financial Short-term disability, long-term disability, and life insurance coverage are provided at..."
